idx,metrics,AD_type,y_pred,y_true
121,1.5200696,IAD,59.27001,72.0
122,2.5764701,OAD,64.482414,81.0
123,3.0903587,OAD,66.38251,80.0
124,3.104864,OAD,59.044758,92.0
125,3.8399749,OAD,25.686293,0.0
126,3.1864212,OAD,69.6376,78.0
127,2.0927334,OAD,73.10572,76.0
128,2.8299816,OAD,79.54485,77.0
129,2.9896648,OAD,63.431553,80.0
130,2.8318577,OAD,63.598103,73.0
131,2.394309,OAD,72.144,75.0
132,1.742374,IAD,76.340485,83.0
133,4.639971,OAD,63.22182,83.0
134,3.3283982,OAD,75.52197,86.0
135,1.7176603,IAD,57.82962,78.0
136,2.8420815,OAD,65.083336,65.0
137,7.0543337,OAD,62.709274,81.0
138,4.697665,OAD,68.34479,88.0
139,3.8349874,OAD,58.955677,78.0
140,4.1235604,OAD,80.83096,63.0
141,3.561361,OAD,67.153275,7.0
142,3.9593153,OAD,80.58242,75.0
143,3.2914212,OAD,74.216415,90.0
144,6.849242,OAD,79.866135,65.0
145,3.7097626,OAD,69.79921,58.0
146,5.825838,OAD,52.907112,45.0
147,5.366349,OAD,68.0145,0.0
148,3.5593085,OAD,80.169876,70.0
149,6.207105,OAD,51.97123,0.0
150,5.17929,OAD,61.970215,25.0
151,2.653295,OAD,79.10795,80.0
152,3.4164307,OAD,72.14809,76.0
153,8.790394,OAD,68.353905,67.0
154,4.9260116,OAD,75.12818,53.0
155,3.6035364,OAD,60.201366,78.0
156,3.161504,OAD,73.25841,60.0
157,3.0857475,OAD,72.306305,100.0
158,8.596471,OAD,67.36112,84.0
159,10.625444,OAD,56.22907,90.0
160,4.2193055,OAD,58.415012,92.0
161,2.862849,OAD,74.889015,99.0
162,2.9319894,OAD,73.20712,92.0
163,3.5100658,OAD,73.76105,91.0
164,6.109349,OAD,66.34958,73.0
165,2.0446992,OAD,68.51449,95.0
166,3.586463,OAD,70.51712,85.0
167,4.5385714,OAD,70.00301,98.0
168,4.1457057,OAD,73.35261,95.0
169,2.8485746,OAD,75.24757,53.0
170,2.6065738,OAD,76.90343,70.0
171,3.3961556,OAD,74.23868,57.0
172,6.090025,OAD,76.51383,73.0
173,1.680208,IAD,65.6877,92.0
174,4.265284,OAD,70.910194,96.0
175,5.456776,OAD,61.27086,82.0
176,2.9066641,OAD,80.01149,95.0
177,1.8674047,IAD,68.744354,45.0
178,2.0000138,OAD,84.145996,94.0
179,1.5878727,IAD,85.01002,64.0
180,3.2879825,OAD,70.36913,61.0
181,1.501691,IAD,74.37656,67.0
182,3.6114037,OAD,85.24565,65.0
183,3.5349662,OAD,87.110115,75.0
184,4.6537056,OAD,72.94975,75.0
185,2.6621869,OAD,81.05877,64.0
186,3.8255105,OAD,81.83149,80.0
187,3.5133235,OAD,69.49867,46.0
188,6.4860754,OAD,76.813545,19.0
189,1.8635552,IAD,64.57533,8.0
190,1.46011,IAD,84.209854,52.0
191,3.7066603,OAD,84.0076,41.0
192,1.9361802,IAD,81.48679,28.0
193,3.5055363,OAD,81.002335,40.0
194,3.34364,OAD,73.73532,11.0
195,1.8707571,IAD,76.351814,10.0
196,2.1903038,OAD,84.977264,68.0
197,2.496669,OAD,83.49264,95.0
198,1.3621719,IAD,80.74466,0.0
199,2.496669,OAD,83.49264,91.0
200,2.8451777,OAD,80.3811,91.0
201,2.7836766,OAD,85.962105,87.0
202,3.853449,OAD,79.47509,78.0
203,6.0216665,OAD,70.6713,89.0
204,3.2892559,OAD,71.18086,68.0
205,6.555627,OAD,68.09951,60.0
206,4.8267164,OAD,67.220695,67.0
207,2.801793,OAD,86.56557,91.0
208,3.6018672,OAD,82.83938,90.0
209,2.0541096,OAD,79.710266,75.0
210,2.9136374,OAD,72.339714,87.0
211,2.6770434,OAD,74.65874,72.0
212,3.7716208,OAD,83.735,75.0
213,1.8342975,IAD,83.765366,95.0
214,1.7936374,IAD,78.176956,92.0
215,2.7890356,OAD,86.50923,94.0
216,7.415914,OAD,8.318322,86.0
217,7.028619,OAD,2.6171389,88.0
218,4.592373,OAD,10.240595,63.0
219,3.8171012,OAD,1.2293788,65.0
220,4.9822755,OAD,3.1437144,79.0
