idx,metrics,AD_type,judge_value,y_pred,y_true
260,305.23827653199936,OAD,101.87607272628082,82.16538,97.0
261,305.47817589276895,OAD,101.87607272628082,81.16557,86.0
262,316.722878135753,OAD,101.87607272628082,81.66321,84.0
263,361.64010775207464,OAD,101.87607272628082,73.84676,98.0
264,231.0606003276817,OAD,101.87607272628082,75.80336,88.0
265,401.4423315929323,OAD,101.87607272628082,72.22289,98.0
266,366.614453707529,OAD,101.87607272628082,82.16999,94.0
267,377.7342844487986,OAD,101.87607272628082,84.075714,98.0
268,390.0329684857573,OAD,101.87607272628082,79.26177,90.0
269,308.1525190190223,OAD,101.87607272628082,76.221596,93.0
270,309.80347768751227,OAD,101.87607272628082,76.71161,94.0
271,348.76074170352285,OAD,101.87607272628082,78.802666,71.2
272,238.18086395035175,OAD,101.87607272628082,84.90826,64.0
273,269.2252460806893,OAD,101.87607272628082,80.20591,52.0
274,288.6562249067084,OAD,101.87607272628082,77.615,18.0
275,314.18513374515186,OAD,101.87607272628082,66.43016,0.0
276,328.04103585606856,OAD,101.87607272628082,63.180683,0.0
277,316.49955286169177,OAD,101.87607272628082,74.55662,85.0
278,277.86950584220153,OAD,101.87607272628082,61.527435,0.0
279,260.5654771035172,OAD,101.87607272628082,78.523964,42.0
280,260.5654771035172,OAD,101.87607272628082,78.523964,24.0
281,338.9482560421599,OAD,101.87607272628082,72.7795,0.0
282,316.49955286169177,OAD,101.87607272628082,74.55662,85.0
283,415.8483005345085,OAD,101.87607272628082,74.80905,87.0
284,431.10301225341954,OAD,101.87607272628082,73.57349,99.0
285,425.99498922657705,OAD,101.87607272628082,80.32204,98.0
286,437.0333659574382,OAD,101.87607272628082,75.51973,94.0
287,347.57687473417883,OAD,101.87607272628082,71.0023,92.0
288,378.087975323985,OAD,101.87607272628082,72.90062,88.0
289,382.6464216671162,OAD,101.87607272628082,67.58949,92.0
290,473.7000225778105,OAD,101.87607272628082,71.33581,94.0
291,457.86890791631316,OAD,101.87607272628082,75.09605,99.0
292,360.795179883171,OAD,101.87607272628082,70.152756,80.0
293,276.56608275124586,OAD,101.87607272628082,64.878044,98.0
294,359.7478261831218,OAD,101.87607272628082,72.20513,82.0
295,330.9723089568549,OAD,101.87607272628082,75.43648,97.0
296,269.5110015085632,OAD,101.87607272628082,65.616974,97.0
297,394.11390892259885,OAD,101.87607272628082,69.735306,99.0
298,331.3981047867076,OAD,101.87607272628082,69.48136,87.0
299,398.8553436737965,OAD,101.87607272628082,70.55715,99.0
300,393.35451628825024,OAD,101.87607272628082,70.43296,85.0
301,360.50653374573267,OAD,101.87607272628082,77.50561,91.0
302,331.0786229449941,OAD,101.87607272628082,71.29177,85.0
303,339.6295891294675,OAD,101.87607272628082,63.571125,97.0
304,414.00711981724174,OAD,101.87607272628082,72.700645,82.0
305,428.6593438149503,OAD,101.87607272628082,69.20596,49.24
306,127.06926455434564,OAD,98.4746355534656,81.58777,82.0
307,196.0784597266618,OAD,98.4746355534656,89.024284,91.0
308,227.34179578167982,OAD,98.4746355534656,81.74966,80.0
309,49.39195621809902,IAD,98.4746355534656,65.13371,64.0
310,49.878729122971976,IAD,98.4746355534656,66.59061,66.0
311,70.94887381510088,IAD,98.4746355534656,80.37923,85.0
312,113.73748707827733,OAD,98.4746355534656,65.51099,64.0
313,111.30540507276515,OAD,98.4746355534656,83.20184,84.0
314,77.12887906863818,IAD,98.4746355534656,83.61056,81.0
315,96.64800674167097,IAD,98.4746355534656,73.10005,75.0
316,156.05063810762687,OAD,98.4746355534656,63.56825,53.0
