idx,metrics,AD_type,y_pred,y_true
90,4.177547,OAD,63.691833,93.0
91,6.496246,OAD,53.829426,91.0
92,4.112944,OAD,61.836555,94.0
93,8.3871975,OAD,62.613472,91.0
230,5.944995,OAD,67.62193,30.0
231,6.0522375,OAD,62.601734,27.0
232,3.3211038,OAD,68.59236,55.0
233,3.1973662,OAD,71.26641,93.0
234,4.149959,OAD,60.751507,18.0
235,6.1542063,OAD,79.32686,24.0
236,5.453182,OAD,74.41233,26.0
237,4.22418,OAD,79.43294,85.0
238,1.1529675,IAD,70.90155,49.0
239,1.594128,OAD,68.532196,80.0
240,3.6455848,OAD,66.85519,40.0
241,3.3771982,OAD,78.300606,90.0
242,5.7316704,OAD,75.982285,20.0
243,3.66979,OAD,76.86531,27.0
244,3.1973662,OAD,71.26641,93.0
245,3.190606,OAD,12.515687,0.0
246,1.4875785,OAD,85.07693,99.0
247,3.7763815,OAD,66.41166,82.0
248,1.9288856,OAD,77.94941,84.0
249,4.7409396,OAD,62.270058,87.0
250,4.522294,OAD,68.52129,96.0
251,4.8482723,OAD,61.61814,85.0
252,6.276406,OAD,38.44848,96.0
253,3.3458254,OAD,81.41301,98.0
254,2.2196171,OAD,62.77802,94.0
255,3.2772794,OAD,58.821968,72.0
256,5.6758275,OAD,66.89679,99.0
257,3.3219144,OAD,77.56766,98.0
258,3.1886272,OAD,82.16289,98.0
259,6.7347097,OAD,69.113914,92.0
260,6.391171,OAD,65.352104,97.0
261,5.544178,OAD,64.29736,86.0
262,6.505049,OAD,63.582462,84.0
263,6.036684,OAD,40.50409,98.0
264,4.89491,OAD,71.96135,88.0
265,2.2712033,OAD,70.71069,98.0
266,3.475932,OAD,82.283875,94.0
267,3.8116143,OAD,75.43646,98.0
268,3.8590562,OAD,72.42442,90.0
269,2.749881,OAD,66.34155,93.0
270,2.6845222,OAD,67.72618,94.0
271,4.6851044,OAD,68.4266,71.2
272,4.269036,OAD,74.29936,64.0
273,2.5356894,OAD,71.13011,52.0
274,3.7222152,OAD,68.81109,18.0
275,7.5343194,OAD,70.679016,0.0
276,4.2934923,OAD,65.61303,0.0
277,4.306574,OAD,77.30939,85.0
278,3.4021237,OAD,61.611004,0.0
279,3.3383796,OAD,84.000206,42.0
280,3.3383796,OAD,84.000206,24.0
281,6.784998,OAD,78.50505,0.0
