idx,metrics,AD_type,judge_value,y_pred,y_true
221,468.91745254611897,OAD,133.94718660719155,78.116615,81.0
222,862.3975250562083,OAD,131.14570327294913,63.997234,58.0
223,619.1667950225223,OAD,135.15201671875872,53.480255,61.0
224,474.0675233491362,OAD,135.15201671875872,68.13191,78.0
225,475.5220557516998,OAD,135.15201671875872,70.48369,79.0
226,396.5443311369425,OAD,132.93225655192543,80.949005,80.0
227,431.94960215235596,OAD,133.94718660719155,81.33954,82.0
228,429.35912970112577,OAD,133.94718660719155,86.661064,86.0
229,442.0895979351768,OAD,131.14570327294913,83.5486,90.0
230,245.39444043709145,OAD,133.94718660719155,52.273422,30.0
231,280.18255498297754,OAD,132.93225655192543,39.096306,27.0
232,250.09164423521398,OAD,135.15201671875872,47.793034,55.0
233,195.71386392816453,OAD,133.94718660719155,81.56537,93.0
234,246.3705199305214,OAD,132.93225655192543,33.264652,18.0
235,248.4823311054447,OAD,135.15201671875872,37.145443,24.0
236,259.9044572862237,OAD,128.77570594718208,47.41884,26.0
237,239.2814587436029,OAD,132.93225655192543,81.799576,85.0
238,213.2501739321138,OAD,133.94718660719155,71.56917,49.0
239,223.08487906354637,OAD,133.94718660719155,56.34969,80.0
240,247.19503696056387,OAD,133.94718660719155,44.95255,40.0
241,276.99881375546556,OAD,135.15201671875872,55.985912,90.0
242,345.0930413035003,OAD,135.15201671875872,37.734566,20.0
243,296.3526519553601,OAD,132.93225655192543,20.633158,27.0
244,175.2147001053548,OAD,128.77570594718208,76.35407,93.0
245,186.00185524948074,OAD,131.14570327294913,65.70645,0.0
246,251.88252439002682,OAD,132.93225655192543,95.09224,99.0
247,294.701136841664,OAD,131.14570327294913,90.25187,82.0
248,315.9326104591762,OAD,133.94718660719155,92.74212,84.0
249,297.90318640411556,OAD,135.15201671875872,87.15783,87.0
250,439.73003241104084,OAD,128.77570594718208,82.015564,96.0
251,259.0038576859794,OAD,133.94718660719155,82.791306,85.0
252,291.58893608700197,OAD,133.94718660719155,91.32044,96.0
253,321.8717298315052,OAD,135.15201671875872,94.29618,98.0
254,291.90596626165797,OAD,133.94718660719155,84.14068,94.0
255,253.731804003093,OAD,135.15201671875872,75.29261,72.0
256,284.88136835449274,OAD,131.14570327294913,90.07998,99.0
257,311.61208943842666,OAD,131.14570327294913,90.11195,98.0
258,255.19136812732722,OAD,132.93225655192543,98.4785,98.0
259,228.2763641800788,OAD,131.14570327294913,88.91842,92.0
260,254.72677884499836,OAD,135.15201671875872,93.09142,97.0
261,272.4388212176754,OAD,132.93225655192543,90.563675,86.0
262,271.0340476707477,OAD,135.15201671875872,91.90059,84.0
263,293.47317340332836,OAD,131.14570327294913,91.0515,98.0
264,208.0384308072133,OAD,132.93225655192543,92.102005,88.0
265,312.11781725846015,OAD,128.77570594718208,92.534,98.0
266,301.28814121607473,OAD,131.14570327294913,92.39518,94.0
267,299.57885549448196,OAD,131.14570327294913,90.08698,98.0
268,342.5385890024816,OAD,132.93225655192543,84.24039,90.0
269,255.7752049404814,OAD,128.77570594718208,94.11964,93.0
270,275.52072792290966,OAD,131.14570327294913,88.58493,94.0
271,388.5184158627236,OAD,128.77570594718208,87.92174,71.2
272,180.59964505900234,OAD,131.14570327294913,74.12041,64.0
273,203.74192068958223,OAD,128.77570594718208,44.45134,52.0
274,226.93239964151672,OAD,133.94718660719155,39.46743,18.0
275,239.77736744498662,OAD,128.77570594718208,28.035406,0.0
276,233.48247408257419,OAD,131.14570327294913,32.243355,0.0
277,215.6276726665772,OAD,128.77570594718208,70.47268,85.0
278,269.690110930993,OAD,131.14570327294913,29.152184,0.0
279,263.6075946185545,OAD,133.94718660719155,24.093891,42.0
280,270.83560100689704,OAD,135.15201671875872,39.131657,24.0
281,317.91334257068985,OAD,128.77570594718208,40.643604,0.0
282,196.17603760869326,OAD,132.93225655192543,73.639435,85.0
283,345.10129933634704,OAD,133.94718660719155,90.9653,87.0
284,279.45368375548475,OAD,128.77570594718208,95.35511,99.0
285,300.69984707344724,OAD,135.15201671875872,90.07582,98.0
286,300.085924210518,OAD,131.14570327294913,91.230515,94.0
287,246.63597224056824,OAD,133.94718660719155,82.57199,92.0
288,254.91876863895217,OAD,132.93225655192543,87.78815,88.0
