idx,metrics,AD_type,judge_value,y_pred,y_true
684,372.17181777641633,OAD,194.43107548253545,35.48961,87.0
685,399.964945547339,OAD,194.43107548253545,31.128304,80.0
686,422.5243445669321,OAD,194.43107548253545,40.431976,70.0
687,333.4897523461335,OAD,194.43107548253545,29.46186,30.0
688,500.34860319408955,OAD,194.43107548253545,37.23063,84.0
689,575.4857701692827,OAD,194.43107548253545,44.004723,91.0
690,494.09871867586065,OAD,194.43107548253545,21.762629,94.0
691,508.8255498266503,OAD,194.43107548253545,55.558525,96.0
692,508.343811215564,OAD,194.43107548253545,34.64386,87.0
693,463.9433567142677,OAD,194.43107548253545,43.242226,95.0
694,479.626334986101,OAD,194.43107548253545,44.546234,93.0
695,400.37324099682826,OAD,194.43107548253545,53.92009,97.0
696,902.7568500868863,OAD,194.43107548253545,43.09976,95.0
697,867.8895110953212,OAD,194.43107548253545,36.73703,96.0
698,542.2129414820863,OAD,194.43107548253545,57.523308,96.0
699,435.6854693957694,OAD,194.43107548253545,40.216167,89.0
700,665.2703981838669,OAD,194.43107548253545,60.723965,96.0
701,506.25686782235977,OAD,194.43107548253545,32.626377,70.0
702,410.9256047520875,OAD,194.43107548253545,25.206223,94.0
703,477.6912796164534,OAD,194.43107548253545,32.36675,95.0
704,477.6912796164534,OAD,194.43107548253545,32.36675,91.0
705,519.3381624410125,OAD,194.43107548253545,34.629456,85.0
706,651.1509749582207,OAD,194.43107548253545,41.59615,85.0
707,487.90341108846235,OAD,194.43107548253545,57.089443,94.0
708,491.8039690586378,OAD,194.43107548253545,21.679743,78.0
709,367.21891377406274,OAD,194.43107548253545,32.5728,80.0
710,612.1845094404026,OAD,194.43107548253545,59.431755,90.0
711,400.2885274074506,OAD,194.43107548253545,21.691856,61.0
712,440.4939551329937,OAD,194.43107548253545,56.74994,82.0
713,456.49494018224476,OAD,194.43107548253545,17.666008,46.0
714,472.1298480045548,OAD,194.43107548253545,21.059984,92.0
715,427.4418776947976,OAD,194.43107548253545,22.513456,75.0
716,573.0264891743846,OAD,194.43107548253545,45.811028,94.0
717,591.6382641867494,OAD,194.43107548253545,43.04417,86.0
718,574.5689573594458,OAD,194.43107548253545,45.92045,61.0
