smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
CC(C)(C)OC(=O)N1CC[C@H](N)C1,-0.232383,0.303351,-0.085875,0.108738,-0.108738,0.389226,2.569201,0.015189,0.102815,-0.064897,0.04012,0.011762,-0.01916566,0.00162581,6.25e-05,0.00036148,0.00042397,0.12568036,0.38608789,582.88248,284.16518,0.4241186,0.00101152,-0.6890701,0.040663,0.0,0.0,2.801375,11.090897,1692.61972,0.792,867.26462,10.9,6.73,6.686,-0.232383,0.036294,0.268677,17.61,6.06
N[C@H]1CCOC1,-0.235228,0.322273,-0.108652,0.106811,-0.106811,0.430925,2.320588,0.013237,0.09997,-0.057143,0.042515,0.01472748,-0.02432671,0.00276274,9.428e-05,0.00031881,0.00041309,0.17614046,0.48077962,329.34583,145.46397,0.4244216,0.00169696,-0.7030052,0.049757,0.0,0.0,3.719793,7.594656,820.56528,0.8924,474.94659,7.272,6.612,5.09,-0.235228,0.046474,0.281701,33.18,10.06
N[C@H]1CCCC[C@@H]1O,-0.225608,0.320743,-0.105726,0.107509,-0.107509,0.42647,2.344832,0.013551,0.10959,-0.06399,0.065283,0.0104846,-0.01983217,0.00160069,0.00012787,0.0003215,0.00044936,0.20358165,0.35983721,413.27825,171.30349,0.41480883,0.00187048,-0.6953841,0.041328,0.0,0.0,4.165374,8.372683,1106.11967,0.8846,584.73937,7.823,6.879,5.345,-0.225608,0.048659,0.274267,46.83,11.35
NC(=O)c1ccccc1,-0.253272,0.329933,-0.029132,0.1504,-0.1504,0.359065,2.78501,0.031499,0.081926,-0.067622,0.065907,0.02053328,-0.02184761,0.00090352,0.00022766,0.00039353,0.00062119,0.23217637,0.57530427,306.17821,264.17189,0.41773213,0.00278511,-0.7540067,0.036716,-0.0060062,4.7e-05,3.554174,9.448764,1049.5425,0.8755,570.47415,9.489,6.694,3.695,-0.253272,-0.043298,0.209974,30.53,15.5
COc1ccc(C(N)=O)cc1,-0.232461,0.302919,-0.036634,0.133143,-0.133143,0.339553,2.94505,0.026103,0.102737,-0.07089,0.063353,0.02240462,-0.02275559,0.0007258,0.00018281,0.0003707,0.00055352,0.2211939,0.61424533,351.96667,324.94752,0.42240506,0.00286519,-0.7544291,0.042008,-0.0036439,2.4e-05,3.319608,11.265723,1271.08061,0.8381,677.0586,11.539,6.876,4.189,-0.232461,-0.032361,0.2001,15.61,13.53
NC(=O)c1ccc(F)cc1,-0.256181,0.330941,-0.028329,0.151306,-0.151306,0.359269,2.783427,0.031861,0.079017,-0.064674,0.069956,0.02128837,-0.01955797,0.00200067,0.00029087,0.00035168,0.00064255,0.2477611,0.55705171,309.03363,276.48051,0.43589919,0.0035726,-0.8039264,0.046069,-0.0065843,6.4e-05,3.550103,9.860492,1076.07127,0.8671,585.64389,9.983,6.692,3.692,-0.256181,-0.044531,0.21165,23.02,14.72
COc1ccccc1C(N)=O,-0.244703,0.315108,-0.036708,0.1392,-0.1392,0.351816,2.842395,0.027538,0.090495,-0.063821,0.062369,0.0175041,-0.02157388,-0.00076789,0.00020081,0.0003267,0.00052751,0.23576104,0.52809228,357.1106,313.61735,0.42100029,0.00247256,-0.7486798,0.040351,-0.0036134,2.4e-05,3.553257,9.652916,1272.73535,0.8466,670.87388,9.195,8.445,4.788,-0.244703,-0.033318,0.211385,14.44,15.27
Cc1cccc(C(N)=O)c1,-0.25089,0.322595,-0.029824,0.146386,-0.146386,0.35242,2.837525,0.030402,0.084308,-0.068518,0.06419,0.0171361,-0.02269269,0.00072304,0.00019473,0.00040189,0.00059662,0.21985676,0.52860616,378.76732,265.4938,0.41746292,0.00235689,-0.7365432,0.040309,-0.0046201,3.4e-05,3.388985,10.472604,1203.46048,0.8491,644.39494,10.114,7.794,4.21,-0.25089,-0.040326,0.210564,27.3,14.42
NC(=O)c1cccnc1,-0.255185,0.332608,-0.017726,0.157441,-0.157441,0.350335,2.854415,0.035377,0.080013,-0.064154,0.073887,0.0246869,-0.02464916,0.00206176,0.00032709,0.0004187,0.00074579,0.24622753,0.67129372,299.40978,253.61118,0.4246429,0.00278743,-0.7584674,0.03749,-0.009033,0.000114,3.645096,9.265096,1006.41596,0.878,553.14065,9.436,6.682,3.75,-0.255185,-0.056632,0.198553,20.38,16.96
NC(=O)c1cccs1,-0.249483,0.327507,-0.025043,0.151232,-0.151232,0.35255,2.836475,0.032437,0.085715,-0.067512,0.06455,0.02092236,-0.02183339,0.00088824,0.00024153,0.00042341,0.00066494,0.23129698,0.58094239,288.06146,253.98954,0.41548114,0.00317876,-0.7467365,0.035919,-0.0045891,4.3e-05,3.851232,9.031596,986.85319,0.8841,542.17156,8.919,6.733,3.6,-0.249483,-0.050495,0.198988,26.86,16.84
