smiles,E_HOMO,VIP,VEA,Mulliken_Chi,Chem_potential,Elec_hardness,Elec_softness,Electro_idx,Nucleo_idx,min_ESP,max_ESP,aver_pESP,aver_nESP,aver_oESP,vari_p_ESP,vari_n_ESP,vari_o_ESP,char_balance,MPI,area_pSurface,area_nSurface,aver_ALIE,vari_ALIE,aver_LEAE,vari_LEAE,aver_LEA,vari_LEA,Molecular_ES_radius_min,Molecular_ES_radius_max,Molecular_volumn,Molecular_sphericity,Molecular_all_surface_area,Molecular_length,Molecular_widht,Molecular_height,HOMO_energy,LUMO_energy,HOMO_LUMO_energy_gap,HOMO_ODI,LUMO_ODI
c1ccc(N2CCCCC2)cc1,-0.187237,0.252632,-0.068194,0.092219,-0.092219,0.320826,3.116959,0.013254,0.147961,-0.036567,0.018491,0.01060338,-0.01732738,0.00141563,1.849e-05,0.00011562,0.00013411,0.11887184,0.34871998,522.35289,256.05544,0.40530574,0.0020951,-0.7043737,0.027628,0.0,0.0,3.611355,12.216748,1546.5552,0.8307,778.58768,11.374,6.572,5.893,-0.187237,0.002288,0.189524,19.94,18.35
COc1cccc(N2CCCC2)c1,-0.185734,0.249954,-0.074195,0.08788,-0.08788,0.324149,3.084997,0.011912,0.149464,-0.044105,0.022036,0.01088588,-0.02034544,-0.00035776,1.886e-05,0.00014044,0.0001593,0.10436173,0.38888968,530.44744,298.392,0.40939963,0.0024324,-0.7062316,0.03318,0.0,0.0,3.593203,12.903642,1626.86553,0.8069,829.01966,12.131,7.634,5.242,-0.185734,0.009205,0.194939,17.96,16.48
Nc1cccc(N2CCCC2)c1,-0.177747,0.242473,-0.081032,0.08072,-0.08072,0.323505,3.091139,0.010071,0.157451,-0.048737,0.047317,0.01308929,-0.021565,-0.00014535,8.399e-05,0.00018412,0.00026811,0.21512581,0.44425867,476.57612,294.46385,0.40453263,0.00318966,-0.7105322,0.034534,0.0,0.0,3.515195,11.491989,1509.72338,0.8252,771.21313,11.076,7.779,5.238,-0.177747,0.016995,0.194742,16.19,15.06
Clc1ccc(N2CCCC2)cc1,-0.19118,0.255373,-0.058364,0.098504,-0.098504,0.313737,3.187387,0.015464,0.144018,-0.029792,0.023924,0.01552616,-0.01789315,0.00185725,2.817e-05,6.762e-05,9.579e-05,0.20761125,0.44883241,464.86242,321.72312,0.40708699,0.0021097,-0.7232557,0.028273,-0.0007685,2e-06,3.578314,13.815958,1539.00405,0.8193,786.76033,11.919,6.723,5.203,-0.19118,-0.009882,0.181298,15.29,21.74
COc1ccc(N2CCCC2)c(OC)c1,-0.193695,0.261344,-0.069218,0.096063,-0.096063,0.330563,3.025144,0.013958,0.141503,-0.042605,0.027887,0.01213289,-0.01188391,-0.00102711,5.906e-05,9.836e-05,0.00015742,0.23441835,0.32644034,421.89283,511.39403,0.41300332,0.00206603,-0.7004319,0.033833,0.0,0.0,3.75934,13.88616,1852.2718,0.7813,933.51111,12.858,8.731,6.262,-0.193695,0.002868,0.196563,25.96,18.81
N#Cc1ccc(N2CCCCC2)cc1,-0.209043,0.270679,-0.033123,0.118778,-0.118778,0.303802,3.291613,0.023219,0.126155,-0.073665,0.032061,0.02025083,-0.02654774,0.00515174,5.158e-05,0.00045893,0.00051051,0.09083325,0.60633665,582.50579,277.45882,0.41532215,0.00203961,-0.7083735,0.026394,-0.0031776,2.3e-05,3.595022,15.484037,1703.42002,0.8019,860.15457,13.225,6.593,5.874,-0.209043,-0.031591,0.177453,18.11,13.87
CCN(CC)c1ccc(OC)cc1,-0.211222,0.279852,-0.059954,0.109949,-0.109949,0.339806,2.942855,0.017788,0.123976,-0.042876,0.028589,0.00934578,-0.01096173,-4.606e-05,5.318e-05,8.832e-05,0.0001415,0.23458036,0.2746479,471.58978,405.75529,0.41128558,0.00161346,-0.687375,0.031358,-0.0006324,2e-06,3.850259,13.318571,1735.48088,0.7958,877.57133,11.63,9.101,6.895,-0.211222,-0.009295,0.201926,31.94,20.96
COc1ccc(N(Cc2ccccc2)Cc2ccccc2)cc1,-0.182379,0.240092,-0.031746,0.104173,-0.104173,0.271837,3.67867,0.01996,0.152819,-0.043636,0.023862,0.01112163,-0.01461315,-0.00011545,2.943e-05,8.322e-05,0.00011265,0.19300878,0.34412063,727.4292,563.82588,0.40375412,0.00223257,-0.7327582,0.02568,-0.0021798,6e-06,3.810387,15.961195,2726.02937,0.7307,1291.51077,14.409,13.138,6.698,-0.182379,-0.015677,0.166702,12.3,9.77
C=CCNc1cccnc1,-0.209881,0.281904,-0.044915,0.118494,-0.118494,0.326819,3.059794,0.021481,0.125317,-0.067232,0.056152,0.01569623,-0.01932093,0.00243695,9.879e-05,0.00026602,0.00036481,0.19747184,0.46446374,425.23676,259.13988,0.40659487,0.00238813,-0.6955526,0.028119,-0.0027049,1.2e-05,3.222599,11.853283,1265.38391,0.8265,684.52894,11.932,6.674,5.189,-0.209881,-0.021047,0.188834,21.93,20.96
c1cncc(N2CCCC2)c1,-0.198018,0.265727,-0.056865,0.104431,-0.104431,0.322591,3.099897,0.016903,0.13718,-0.06962,0.025652,0.01550566,-0.02204326,0.00235371,3.19e-05,0.00028883,0.00032073,0.0895796,0.484241,458.22311,247.01937,0.41045124,0.00221403,-0.7022402,0.029129,-0.00123,5e-06,3.557365,11.660267,1361.43603,0.8421,705.40498,10.662,6.726,5.196,-0.198018,-0.015549,0.182469,19.13,21.28
Brc1ccc(N2CCOCC2)nc1,-0.208396,0.271334,-0.035191,0.118071,-0.118071,0.306525,3.262375,0.02274,0.126802,-0.046452,0.033605,0.01583255,-0.01438032,0.00236256,6.974e-05,9.644e-05,0.00016618,0.24354845,0.41320741,455.23556,366.24653,0.40791366,0.00252145,-0.7269455,0.028645,-0.0027102,2.7e-05,3.308859,14.372648,1612.21561,0.8092,821.65828,12.086,6.786,5.443,-0.208396,-0.033686,0.17471,17.06,21.1
O=c1c(N2CCOCC2)cn(Cc2ccccc2)c(=O)n1Cc1ccccc1,-0.222792,0.281612,-0.008318,0.136647,-0.136647,0.28993,3.449114,0.032202,0.112406,-0.055571,0.047431,0.01328713,-0.0166594,0.00118082,8.494e-05,0.00019055,0.0002755,0.21326132,0.39865821,870.47616,590.70198,0.41534758,0.00185437,-0.7406082,0.030623,-0.0039757,4.2e-05,3.186047,16.007119,3117.56623,0.7062,1461.4768,15.388,12.57,7.067,-0.222792,-0.047737,0.175055,22.86,15.52
O=c1c(Nc2ncccn2)cn(Cc2ccccc2)c(=O)n1Cc1ccccc1,-0.208744,0.2645,-0.003231,0.130634,-0.130634,0.267731,3.735093,0.03187,0.126454,-0.050836,0.035334,0.01286608,-0.01492318,4.033e-05,7.502e-05,0.00015224,0.00022726,0.22113858,0.37593906,789.95397,677.09737,0.41378163,0.00205851,-0.7556976,0.026542,-0.0054814,5.3e-05,3.215468,16.366205,3095.28293,0.7,1467.30837,14.875,13.576,6.907,-0.208744,-0.049123,0.159621,13.47,11.97
