paper_id,paper,year,month,synad_score,r2_test
66,H-25,2009,7,1.000,0.06793314420944063
67,Z-232,2009,7,0.289,0.8631962133453726
68,Z-210,2009,8,0.902,0.20935647470129426
69,H-35,2009,9,0.888,0.11977461293391078
70,H-86,2009,9,1.000,-77.50703163422907
71,H-83,2009,10,1.000,-0.47987871673229
72,H-88,2009,10,0.696,-4.416732067447101
73,Z-209,2009,12,1.000,-28.28278244290736
74,H-78,2010,1,1.000,0.34751902423008596
75,Z-83,2010,2,0.986,0.21592128899824803
76,H-82,2010,2,0.944,-0.09834347533874577
77,H-87,2010,2,0.167,0.9285446650841434
78,Z-234,2010,3,0.815,0.1614107033814638
79,H-7,2010,3,0.652,0.23176285662274354
80,H-40,2010,3,0.204,0.974028266704552
81,H-42,2010,5,0.963,-0.03480654288092455
82,H-19,2010,10,0.991,-0.18206944772186162
83,H-30,2011,1,1.000,-0.028945670631667753
84,Z-202,2011,1,0.054,0.9482082392984703
85,Z-77,2011,2,0.753,-0.9366384762972038
86,Z-199,2011,3,1.000,-0.5186493096868345
87,H-10,2011,3,0.789,-0.1976331181270896
88,H-65,2011,3,0.897,0.4375327773321943
89,H-76,2011,7,1.000,-1.7703636650216503
90,Z-200,2011,7,0.614,0.19512545662786507
91,H-31,2011,7,0.035,0.9643960772213708
92,Z-193,2011,12,1.000,0.0644198702961053
93,H-41,2012,1,1.000,-0.4826520231538458
94,H-22,2012,6,1.000,-1.3434458592401746
95,Z-192,2012,7,0.970,-36.14543023383885
96,H-60,2012,10,1.000,-0.03333187375612923
97,H-26,2013,5,0.968,-0.9644270492215947
98,Z-180,2014,1,1.000,0.11691338978810006
99,Z-177,2015,1,1.000,-2.0419769051209697
100,H-61,2015,1,0.861,0.2392432515717381
101,H-62,2015,1,0.839,0.2396992287208657
102,H-48,2015,1,0.961,-1.2682594407187922
103,H-68,2015,9,0.994,-2.4954510786661226
104,H-6,2015,11,0.978,-1.0799647834930224
105,H-24,2016,4,0.968,0.1228891331494184
106,H-49,2016,10,1.000,-0.5523267234731353
107,H-16,2017,2,1.000,0.09833921550703939
108,H-66,2017,4,0.762,0.11974413828802366
109,H-54,2017,5,1.000,-0.30043138880998876
110,H-45,2017,5,1.000,-0.15472569014877102
111,H-91,2017,5,1.000,-1.2918887322432746
112,H-98,2017,8,1.000,0.017633427690698866
113,H-73,2017,8,0.993,-0.6120274363369134
114,Z-167,2019,1,1.000,-11.783500198861654
115,Z-168,2019,1,1.000,-0.5292407243489341
116,Z-162,2020,1,1.000,-2.810071237912992
117,Z-161,2021,1,1.000,0.04984883985289179
118,Z-158,2021,3,1.000,-0.614863047846461
